No	TMNo	EnNo	Name	INOUT	Mode	DateTime
139	1	12		0	1	2020/01/23 11:49:50
140	1	12		0	1	2020/01/23 11:49:53
141	1	1		0	1	2020/01/23 11:53:35
142	1	4		0	1	2020/01/23 11:54:00
143	1	9		0	1	2020/01/23 12:00:44
144	1	9		0	1	2020/01/23 12:00:44
145	1	9		0	1	2020/01/23 12:00:48
146	1	9		0	1	2020/01/23 12:00:48
147	1	8		0	1	2020/01/23 12:21:25
148	1	8		0	1	2020/01/23 12:21:32
149	1	14		0	1	2020/01/23 12:24:27
150	1	11		0	1	2020/01/23 12:25:57
151	1	11		0	1	2020/01/23 12:26:02
152	1	2		0	1	2020/01/23 12:26:29
153	1	2		0	1	2020/01/23 12:26:34
154	1	3		0	1	2020/01/23 12:27:08
155	1	3		0	1	2020/01/23 12:27:12
156	1	5		0	1	2020/01/23 12:28:53
157	1	5		0	1	2020/01/23 12:28:55
158	1	7		0	1	2020/01/23 12:28:57
159	1	7		0	1	2020/01/23 12:28:57
160	1	10		0	1	2020/01/23 12:29:00
161	1	10		0	1	2020/01/23 12:29:00
162	1	6		0	1	2020/01/23 12:29:09
163	1	13		0	1	2020/01/23 12:31:19
164	1	12		0	1	2020/01/23 16:00:04
165	1	12		0	1	2020/01/23 16:00:06
166	1	11		0	1	2020/01/23 16:00:11
167	1	11		0	1	2020/01/23 16:00:11
168	1	1		0	1	2020/01/23 16:00:18
169	1	1		0	1	2020/01/23 16:00:20
170	1	8		0	1	2020/01/23 16:00:23
171	1	8		0	1	2020/01/23 16:00:26
172	1	7		0	1	2020/01/23 16:00:29
173	1	7		0	1	2020/01/23 16:00:29
174	1	9		0	1	2020/01/23 16:00:33
175	1	9		0	1	2020/01/23 16:00:36
176	1	2		0	1	2020/01/23 16:00:40
177	1	2		0	1	2020/01/23 16:00:46
178	1	10		0	1	2020/01/23 16:00:51
179	1	10		0	1	2020/01/23 16:00:54
180	1	5		0	1	2020/01/23 16:01:47
181	1	6		0	1	2020/01/23 16:02:08
182	1	14		0	1	2020/01/23 16:02:36
183	1	13		0	1	2020/01/23 16:03:05
184	1	4		0	1	2020/01/23 16:03:18
185	1	3		0	1	2020/01/23 16:03:23
186	1	3		0	1	2020/01/23 16:03:26
187	1	2		0	1	2020/01/24 06:08:20
188	1	2		0	1	2020/01/24 06:08:25
189	1	8		0	1	2020/01/24 06:36:51
190	1	8		0	1	2020/01/24 06:36:55
191	1	3		0	1	2020/01/24 06:41:08
192	1	3		0	1	2020/01/24 06:41:11
193	1	9		0	1	2020/01/24 06:43:24
194	1	9		0	1	2020/01/24 06:43:24
195	1	9		0	1	2020/01/24 06:43:28
196	1	1		0	1	2020/01/24 06:43:34
197	1	1		0	1	2020/01/24 06:43:36
198	1	11		0	1	2020/01/24 06:44:55
199	1	11		0	1	2020/01/24 06:44:55
200	1	12		0	1	2020/01/24 06:51:38
201	1	12		0	1	2020/01/24 06:51:42
202	1	14		0	1	2020/01/24 06:58:11
203	1	13		0	1	2020/01/24 07:01:02
204	1	5		0	1	2020/01/24 07:01:58
205	1	6		0	1	2020/01/24 07:02:05
206	1	4		0	1	2020/01/24 07:06:23
207	1	12		0	1	2020/01/24 11:30:02
208	1	12		0	1	2020/01/24 11:30:06
209	1	3		0	1	2020/01/24 11:30:10
210	1	3		0	1	2020/01/24 11:30:10
211	1	8		0	1	2020/01/24 11:30:14
212	1	8		0	1	2020/01/24 11:30:16
213	1	14		0	1	2020/01/24 11:30:20
214	1	4		0	1	2020/01/24 11:30:23
215	1	6		0	1	2020/01/24 11:30:30
216	1	5		0	1	2020/01/24 11:30:32
217	1	11		0	1	2020/01/24 11:30:35
218	1	1		0	1	2020/01/24 11:30:38
219	1	9		0	1	2020/01/24 11:30:41
220	1	2		0	1	2020/01/24 11:30:46
221	1	2		0	1	2020/01/24 11:30:49
222	1	13		0	1	2020/01/24 11:30:55
223	1	12		0	1	2020/01/24 11:42:36
224	1	12		0	1	2020/01/24 11:42:38
225	1	9		0	1	2020/01/24 11:49:47
226	1	9		0	1	2020/01/24 11:49:50
227	1	4		0	1	2020/01/24 11:56:04
228	1	2		0	1	2020/01/24 12:16:56
229	1	1		0	1	2020/01/24 12:26:13
230	1	3		0	1	2020/01/24 12:27:41
231	1	3		0	1	2020/01/24 12:27:41
232	1	11		0	1	2020/01/24 12:27:47
233	1	11		0	1	2020/01/24 12:27:47
234	1	14		0	1	2020/01/24 12:28:05
235	1	5		0	1	2020/01/24 12:28:55
236	1	6		0	1	2020/01/24 12:29:03
237	1	7		0	1	2020/01/24 12:29:38
238	1	7		0	1	2020/01/24 12:29:40
239	1	10		0	1	2020/01/24 12:29:40
240	1	10		0	1	2020/01/24 12:29:40
241	1	13		0	1	2020/01/24 12:32:44
242	1	12		0	1	2020/01/24 16:00:02
243	1	12		0	1	2020/01/24 16:00:06
244	1	1		0	1	2020/01/24 16:00:06
245	1	1		0	1	2020/01/24 16:00:09
246	1	8		0	1	2020/01/24 16:00:16
247	1	8		0	1	2020/01/24 16:00:18
248	1	11		0	1	2020/01/24 16:00:31
249	1	11		0	1	2020/01/24 16:00:34
250	1	14		0	1	2020/01/24 16:00:36
251	1	3		0	1	2020/01/24 16:00:40
252	1	3		0	1	2020/01/24 16:00:40
253	1	9		0	1	2020/01/24 16:00:46
254	1	9		0	1	2020/01/24 16:00:48
255	1	5		0	1	2020/01/24 16:00:51
256	1	5		0	1	2020/01/24 16:00:55
257	1	7		0	1	2020/01/24 16:01:00
258	1	10		0	1	2020/01/24 16:01:07
259	1	10		0	1	2020/01/24 16:01:07
260	1	6		0	1	2020/01/24 16:01:15
261	1	13		0	1	2020/01/24 16:01:18
262	1	2		0	1	2020/01/24 16:01:45
263	1	4		0	1	2020/01/24 16:02:02
264	1	2		0	1	2020/01/25 05:18:56
265	1	3		0	1	2020/01/25 06:03:28
266	1	3		0	1	2020/01/25 06:03:30
267	1	13		0	1	2020/01/25 06:45:45
268	1	9		0	1	2020/01/25 06:49:33
269	1	9		0	1	2020/01/25 06:49:35
270	1	1		0	1	2020/01/25 06:49:42
271	1	1		0	1	2020/01/25 06:49:46
272	1	12		0	1	2020/01/25 06:52:47
273	1	12		0	1	2020/01/25 06:52:51
274	1	11		0	1	2020/01/25 06:53:52
275	1	11		0	1	2020/01/25 06:53:54
276	1	4		0	1	2020/01/25 06:58:35
277	1	5		0	1	2020/01/25 07:02:58
